"x","y"
"2",19.2613654288045,52.4367004697
"3",19.2771968542919,52.4360833707727
"4",19.2758666318677,52.4426987198698
"7",19.2911856672425,52.4480397678461
"8",19.281642940267,52.4435098869919
"10",19.2832789308787,52.4382745439184
"12",19.2996369565846,52.4031161347703
"16",19.3018932567699,52.4369179768082
"19",19.3020652224801,52.4466782300921
"20",19.3062181263129,52.4308358348656
"22",19.308435284351,52.4107420224579
"23",19.2962356527481,52.3708722487117
"25",19.3073950907471,52.4018800986709
"27",19.3083132133652,52.4267205227098
"28",19.3122356920312,52.433094536234
"29",19.3134047093582,52.3964335159528
"31",19.3187583276617,52.4363384315861
"35",19.3224870773768,52.3850154145192
"37",19.3290753800241,52.4341773385854
"38",19.3346513017519,52.4450862186623
"39",19.3357814485746,52.4551559787378
"40",19.3276323200843,52.4193111757572
"41",19.3591878524219,52.5453240829997
"43",19.3117345262861,52.3751784314741
"46",19.329672928614,52.4099868924728
"47",19.3354729042216,52.4747153475886
"48",19.3558337941855,52.5275305861867
"49",19.3383074735966,52.4623660936902
"50",19.3228243638136,52.4031913232685
"52",19.3296276255664,52.4416218676267
"53",19.3369892006942,52.4018226765985
"54",19.3866091061988,52.6381177840152
"56",19.3389767682367,52.406896355495
"57",19.3629942920697,52.5291510748661
"59",19.3274228923607,52.3769208598183
"60",19.3335007200667,52.3503349462851
"62",19.3907338991277,52.6389607098784
"63",19.4569136294782,52.9324849642228
"64",19.3430287698828,52.4491508246862
"65",19.346768603775,52.4641868666167
"66",19.3353988163007,52.3651554678547
"67",19.344589386348,52.4550426783699
"69",19.4356710289452,52.8369994498907
"70",19.3349042061123,52.422085480043
"71",19.3502639933437,52.4282695158838
"72",19.3579213508604,52.4699582794062
"75",19.339149260778,52.3848290683708
"76",19.3308522558407,52.3971392723911
"79",19.3418256515727,52.440751053033
"81",19.3628984899913,52.4575843322389
"83",19.3861607883695,52.5372659458083
"85",19.3602670932956,52.4412480972488
"86",19.3549102204699,52.4123741475957
"87",19.3584446250371,52.4257460532766
"88",19.3567787558465,52.4501177497364
"89",19.416784678851,52.6691599977373
"90",19.4454729939737,52.8309735406421
"91",19.3517284665531,52.376126543757
"92",19.3451704481528,52.3906375487244
"94",19.3774451635192,52.4965709384835
"96",19.4649110206497,52.9338101228861
"97",19.3477560602205,52.3979365481183
"98",19.382097033472,52.5282260205359
"99",19.3661954085474,52.4736819239887
"100",19.3766175213837,52.4918270756708
"102",19.436374224811,52.815379572743
"103",19.3475916177809,52.3603046013962
"105",19.4039466273991,52.6359995534027
"106",19.4705872926374,52.9301130786677
"107",19.3481070926015,52.3822598677293
"108",19.3406763984214,52.3826445179841
"109",19.3512484516569,52.4179314951399
"110",19.4429084467921,52.8338064509557
"112",19.3449311453221,52.3680844781245
"113",19.3587800990247,52.4602577054155
"115",19.3710342646155,52.4785995925386
"116",19.4097679931821,52.6436785589977
"119",19.4422218945573,52.8161487849196
"120",19.4281865487352,52.6565536194036
"121",19.4153427358361,52.659437358237
"123",19.4581851219018,52.8161852092139
"126",19.3489463907979,52.3476894439562
"127",19.4119813090816,52.6458795544837
"128",19.426892688925,52.6628964832034
"129",19.3577089155863,52.3522607367738
"130",19.3659624243196,52.4216422876181
"131",19.4185897480664,52.6427716316285
"134",19.4065159919243,52.5766614396489
"135",19.4502016835114,52.8141952977556
